trace_type,algorithm,frames,accesses,faults,fault_rate,hit_rate,time_ms
scan,ARC,64,100000,100000,1.000000,0.000000,20.31
scan,TempoGraph,64,100000,94921,0.949210,0.050790,2627.99
scan,SIEVE,64,100000,100000,1.000000,0.000000,2.89
scan,LRU,128,100000,100000,1.000000,0.000000,6.98
scan,LFU,128,100000,100000,1.000000,0.000000,12.80
scan,ARC,128,100000,100000,1.000000,0.000000,7.61
scan,TempoGraph,128,100000,89065,0.890650,0.109350,2784.12
scan,SIEVE,128,100000,100000,1.000000,0.000000,6.47
scan,LRU,256,100000,100000,1.000000,0.000000,8.32
scan,LFU,256,100000,100000,1.000000,0.000000,22.08
scan,ARC,256,100000,100000,1.000000,0.000000,7.28
scan,TempoGraph,256,100000,76243,0.762430,0.237570,2692.40
scan,SIEVE,256,100000,100000,1.000000,0.000000,7.78
uniform,LRU,16,100000,98335,0.983350,0.016650,6.74
uniform,LFU,16,100000,98351,0.983510,0.016490,3.32
uniform,ARC,16,100000,98376,0.983760,0.016240,9.48
uniform,TempoGraph,16,100000,98338,0.983380,0.016620,2570.49
uniform,SIEVE,16,100000,98340,0.983400,0.016600,1.11
uniform,LRU,32,100000,96718,0.967180,0.032820,6.78
uniform,LFU,32,100000,96753,0.967530,0.032470,3.84
uniform,ARC,32,100000,96744,0.967440,0.032560,7.34
uniform,TempoGraph,32,100000,96732,0.967320,0.032680,2591.42
uniform,SIEVE,32,100000,96731,0.967310,0.032690,1.51
uniform,LRU,64,100000,93514,0.935140,0.064860,7.29
uniform,LFU,64,100000,93560,0.935600,0.064400,11.80
uniform,ARC,64,100000,93576,0.935760,0.064240,12.49
uniform,TempoGraph,64,100000,93658,0.936580,0.063420,2592.86
uniform,SIEVE,64,100000,93531,0.935310,0.064690,2.69
uniform,LRU,128,100000,87170,0.871700,0.128300,7.74
uniform,LFU,128,100000,87272,0.872720,0.127280,10.74
uniform,ARC,128,100000,87185,0.871850,0.128150,7.09
uniform,TempoGraph,128,100000,87137,0.871370,0.128630,2688.59
uniform,SIEVE,128,100000,87227,0.872270,0.127730,4.81
uniform,LRU,256,100000,74680,0.746800,0.253200,6.22
uniform,LFU,256,100000,74555,0.745550,0.254450,17.93
uniform,ARC,256,100000,74641,0.746410,0.253590,6.24
uniform,TempoGraph,256,100000,74509,0.745090,0.254910,2680.97
uniform,SIEVE,256,100000,74597,0.745970,0.254030,7.49
